date,investment,index_value,shares_bought,total_invested,total_shares
2018-01-01,1000.000000,1000.000000,1.000000,1000.000000,1.000000
2018-02-01,1000.000000,852.838582,1.172555,2000.000000,2.172555
2018-03-01,1000.000000,790.475713,1.265061,3000.000000,3.437616
2018-04-01,1000.000000,482.415735,2.072901,4000.000000,5.510517
2018-05-01,1000.000000,681.595044,1.467147,5000.000000,6.977664
2018-06-01,1000.000000,565.685322,1.767767,6000.000000,8.745431
2018-07-01,1000.000000,472.948884,2.114393,7000.000000,10.859824
2018-08-01,1000.000000,541.981315,1.845082,8000.000000,12.704906
2018-09-01,1000.000000,459.862266,2.174564,9000.000000,14.879470
2018-10-01,1000.000000,424.715417,2.354518,10000.000000,17.233988
2018-11-01,1000.000000,401.711488,2.489349,11000.000000,19.723337
2018-12-01,1000.000000,258.711781,3.865305,12000.000000,23.588642
2019-01-01,1000.000000,241.376167,4.142911,13000.000000,27.731553
2019-02-01,1000.000000,223.356423,4.477149,14000.000000,32.208702
2019-03-01,1000.000000,249.284433,4.011482,15000.000000,36.220184
2019-04-01,1000.000000,267.666741,3.735989,16000.000000,39.956173
2019-05-01,1000.000000,339.187115,2.948225,17000.000000,42.904399
2019-06-01,1000.000000,553.908702,1.805352,18000.000000,44.709750
2019-07-01,1000.000000,689.963415,1.449352,19000.000000,46.159102
2019-08-01,1000.000000,622.586060,1.606204,20000.000000,47.765306
2019-09-01,1000.000000,584.710942,1.710247,21000.000000,49.475553
2019-10-01,1000.000000,515.662343,1.939253,22000.000000,51.414806
2019-11-01,1000.000000,567.604757,1.761789,23000.000000,53.176596
2019-12-01,1000.000000,469.871526,2.128241,24000.000000,55.304837
2020-01-01,1000.000000,443.317535,2.255719,25000.000000,57.560556
2020-02-01,1000.000000,580.155673,1.723675,26000.000000,59.284232
2020-03-01,1000.000000,552.730883,1.809199,27000.000000,61.093430
2020-04-01,1000.000000,406.373135,2.460793,28000.000000,63.554223
2020-05-01,1000.000000,555.135993,1.801360,29000.000000,65.355583
2020-06-01,1000.000000,612.941107,1.631478,30000.000000,66.987062
2020-07-01,1000.000000,594.381050,1.682422,31000.000000,68.669484
2020-08-01,1000.000000,760.061437,1.315683,32000.000000,69.985167
2020-09-01,1000.000000,813.114517,1.229839,33000.000000,71.215006
2020-10-01,1000.000000,736.032907,1.358635,34000.000000,72.573641
2020-11-01,1000.000000,917.435696,1.089995,35000.000000,73.663636
2020-12-01,1000.000000,1330.042398,0.751856,36000.000000,74.415491
2021-01-01,1000.000000,1912.898837,0.522767,37000.000000,74.938258
2021-02-01,1000.000000,2348.145028,0.425868,38000.000000,75.364126
2021-03-01,1000.000000,3073.021702,0.325413,39000.000000,75.689539
2021-04-01,1000.000000,4047.888322,0.247042,40000.000000,75.936581
2021-05-01,1000.000000,4307.265939,0.232166,41000.000000,76.168747
2021-06-01,1000.000000,3109.852868,0.321559,42000.000000,76.490306
2021-07-01,1000.000000,2841.546196,0.351921,43000.000000,76.842227
2021-08-01,1000.000000,3318.310839,0.301358,44000.000000,77.143585
2021-09-01,1000.000000,3969.144281,0.251943,45000.000000,77.395528
2021-10-01,1000.000000,3629.154097,0.275546,46000.000000,77.671075
2021-11-01,1000.000000,5116.801149,0.195435,47000.000000,77.866509
2021-12-01,1000.000000,4990.492814,0.200381,48000.000000,78.066890
2022-01-01,1000.000000,4037.597256,0.247672,49000.000000,78.314562
2022-02-01,1000.000000,3216.188160,0.310927,50000.000000,78.625489
2022-03-01,1000.000000,3583.797548,0.279034,51000.000000,78.904523
2022-04-01,1000.000000,3864.723521,0.258751,52000.000000,79.163274
2022-05-01,1000.000000,3220.981809,0.310464,53000.000000,79.473738
2022-06-01,1000.000000,2585.286997,0.386804,54000.000000,79.860542
2022-07-01,1000.000000,1508.384988,0.662961,55000.000000,80.523503
2022-08-01,1000.000000,1990.399065,0.502412,56000.000000,81.025915
2022-09-01,1000.000000,1748.885337,0.571793,57000.000000,81.597708
2022-10-01,1000.000000,1637.410205,0.610721,58000.000000,82.208428
2022-11-01,1000.000000,1788.069108,0.559263,59000.000000,82.767691
2022-12-01,1000.000000,1495.834903,0.668523,60000.000000,83.436214
2023-01-01,1000.000000,1418.904971,0.704769,61000.000000,84.140983
2023-02-01,1000.000000,1954.497308,0.511641,62000.000000,84.652623
2023-03-01,1000.000000,1961.409553,0.509837,63000.000000,85.162460
2023-04-01,1000.000000,2367.394260,0.422405,64000.000000,85.584866
2023-05-01,1000.000000,2441.303786,0.409617,65000.000000,85.994483
2023-06-01,1000.000000,2313.203234,0.432301,66000.000000,86.426784
2023-07-01,1000.000000,2528.559258,0.395482,67000.000000,86.822266
2023-08-01,1000.000000,2428.451043,0.411785,68000.000000,87.234051
2023-09-01,1000.000000,2157.524064,0.463494,69000.000000,87.697546
2023-10-01,1000.000000,2229.920560,0.448446,70000.000000,88.145992
2023-11-01,1000.000000,2744.041562,0.364426,71000.000000,88.510418
2023-12-01,1000.000000,3020.588624,0.331061,72000.000000,88.841479
2024-01-01,1000.000000,3380.727133,0.295794,73000.000000,89.137274
2024-02-01,1000.000000,3405.325619,0.293658,74000.000000,89.430931
2024-03-01,1000.000000,4938.908533,0.202474,75000.000000,89.633405
2024-04-01,1000.000000,5642.519434,0.177226,76000.000000,89.810631
2024-05-01,1000.000000,4806.396292,0.208056,77000.000000,90.018687
2024-06-01,1000.000000,5474.647717,0.182660,78000.000000,90.201347
2024-07-01,1000.000000,5060.435989,0.197611,79000.000000,90.398959
2024-08-01,1000.000000,5105.461157,0.195869,80000.000000,90.594827
2024-09-01,1000.000000,4499.895545,0.222227,81000.000000,90.817055
2024-10-01,1000.000000,4792.881173,0.208643,82000.000000,91.025697
2024-11-01,1000.000000,5194.633900,0.192506,83000.000000,91.218204
2024-12-01,1000.000000,7231.175098,0.138290,84000.000000,91.356494
2025-01-01,1000.000000,6914.970026,0.144614,85000.000000,91.501108
2025-02-01,1000.000000,7441.464184,0.134382,86000.000000,91.635490
2025-03-01,1000.000000,5965.257954,0.167637,87000.000000,91.803127
2025-04-01,1000.000000,5691.316842,0.175706,88000.000000,91.978833
2025-05-01,1000.000000,6406.155463,0.156100,89000.000000,92.134933
2025-06-01,1000.000000,7321.107790,0.136591,90000.000000,92.271525
2025-07-01,1000.000000,7458.173402,0.134081,91000.000000,92.405606
